Input1,Input2,Input3,Input4,Output
25862.32,25243.55,30,35,25564.67
24102.9,24087,32,24,25564.67
23656.19,25243.55,36,0,25564.67
11865.32,17632.89,42,14.076,0
4400.513,6486.339,43,6.9,0
2051.352,3118.742,20,11.5,15856.01
0,1480.597,18,0,10805.14
13975.45,16426.21,25,0,0
11207.01,18841.35,44,0,10639.63
0,0,19,0,8708.243
0,0,16,0,4974.028
25862.32,25243.55,44,50,8232.415
19837.58,12489.29,25,84,23798.79
24686.76,25243.55,44,45,25564.67
10856.3,10425.05,30,50,9175.204
16726.26,25243.55,30,17,25564.67
19430.05,18605.03,41,20,25564.67
8614.896,11542.21,21,3.6,14666.44
3469.862,3720.29,49,14,4792.267
19753.33,19117.06,44,3,13801.97
5879.76,8595.339,19,20,13525.63
9455.422,11228.9,23,41,19375.95
1058.004,0,19,7,8923.991
25744.77,19570.02,38,24,16631.81
23289.8,17758.21,44,30,25564.67
1091.312,1430.468,16,16,11511.49
21783.13,22056.77,34,15.721,20822.65
9894.297,9590.758,46,8,9872.691
15147.09,8806.597,41,15,0
2462.798,7080.726,17,39,25564.67
18082.07,18080.47,43,4.5,19358.22
9414.277,15926.71,23,46,12649.34
20625.2,19990.74,37,2.4,23194.4
1880.896,4058.661,20,0,2860.879
7206.183,10117.11,24,0,22353.57
489.8167,0,33,1.2,0
9872.745,9039.339,20,0,25360.74
135.1894,0,34,30,0
16318.73,13166.03,23,28,24258.36
1861.303,20409.68,27,23.32,25564.67
16530.33,12546.58,46,30,12879.86
19529.97,18542.37,23,48,12946.36
22314.09,23000.27,48,46,22127.48
0,0,33,45,0
17584.42,12362.18,55,32,15383.13
21504.91,18912.97,45,22.04,12646.38
20135.38,20440.11,52,26.16,21495.01
10084.35,7351.065,19,26,17174.14
19772.92,22337.85,25,0,21140.36
17868.51,9995.371,41,23,11440.56
4359.369,0,22,39,667.9324
8583.548,1478.806,19,0,10283.5
24020.61,25243.55,32,72,25564.67
16207.05,17545.16,30,50.938,18161.26
11297.13,12568.06,23,2,14251.2
0,1267.548,16,2.22,7376.811
1918.122,2160.919,20,28,9546.114
25862.32,25243.55,35,6,25564.67
22374.83,23487.24,48,12.6,24450.46
2259.035,0,18,15,4817.389
0,10405.35,53,18.6,2704.24
25862.32,13205.42,46,13,24796.25
3291.568,12303.1,19,30.068,19260.69
411.446,0,50,50,9166.338
495.6945,2477.806,29,0,6906.894
4435.78,5655.629,27,0,2852.012
9261.454,6688.645,36,53,12743.91
23203.6,25243.55,50,0,25564.67
14506.41,16918.55,25,0,18885.35
18701.2,17251.55,32,51,24112.06
20395.97,19854.68,24,57,22656.5
18466.09,20577.97,29,0,22598.87
1108.945,7426.258,29,22.15,0
22045.67,20015.81,25,43,23022.98
20709.45,21251.13,34,40,20537.44
25862.32,25243.55,29,27,25564.67
11161.94,13128.44,32,53,0
8140.754,0,50,16,8081.687
15599.68,20357.76,41,40.2,12680.37
932.611,968.5645,32,32,14966.41
1918.122,9374.129,23,33,0
9449.544,18807.34,23,15,335.4439
7325.699,1767.048,21,40,14434.43
1643.825,2148.387,16,5,7769.886
11207.01,11637.1,35,22,13114.82
13916.67,14723.61,23,45,16492.91
2247.279,2837.661,26,75,0
16218.81,11583.39,47,99.999,20578.82
562.3096,179.0323,17,50,263.0353
0,0,26,0,0
18040.93,20499.19,29,30,6377.868
16161.99,14526.68,26,57.706,11975.5
0,4876.839,23,15,16747.08
975.7149,1579.065,23,0,3010.129
18597.36,18889.69,29,0,25564.67
8685.43,21471.34,29,0.2,25564.67
10166.64,14179.35,32,85,1131.939
11434.28,15898.06,25,13,19003.56
17705.89,20923.5,26,0,22196.93
25862.32,25243.55,26,2.08,25564.67
25862.32,25243.55,30,2.2,25564.67
23029.22,14770.16,34,25,19318.32
695.5397,930.9677,30,11.26,682.7097
16179.63,16512.15,28,18.7,18354.84
8563.955,4794.484,48,15,0
5158.749,8813.758,28,30,11452.38
0,2886,39,50,18761.22
1132.456,1432.258,42,15,0
0,0,27,50,0
0,18742.89,24,11.444,22906.24
20423.4,20651.37,43,38.5,15016.66
309.5642,2202.097,16,14,115.2627
1598.762,9816.339,22,22,6908.372
9968.749,8894.323,45,35,9111.662
9551.426,8726.032,25,53,9900.768
18765.86,18631.89,29,5,19992.16
20521.36,13040.71,24,32,15984.57
6896.619,5404.984,34,28.52,8396.442
813.0957,12381.87,45,9.366,9686.498
15770.14,7014.484,36,30,8595.935
17139.67,18447.48,41,7.24,21143.31
15703.52,15980.42,51,30,12271.04
4351.532,5643.097,19,30,8508.75
877.7515,905.9032,49,30,0
0,35.80645,20,16,3536.2
4380.921,12691.6,23,75,14001.46
0,0,22,21,0
25862.32,25243.55,32,75,25564.67
25862.32,25243.55,31,0,25564.67
25862.32,25243.55,47,0,25564.67
8225.002,24951.73,26,12,16151.55
25862.32,23617.94,32,0,25564.67
0,1512.823,17,13,868.9032
3258.261,769.8387,36,2.4,3570.187
13902.96,13355.81,55,22,16124.95
9947.198,2780.371,50,25,3453.447
25862.32,25243.55,24,0,25564.67
7605.874,6860.516,38,32.9,7941.303
5717.141,898.7419,21,25,3873.121
25862.32,25243.55,55,40,25564.67
2564.68,0,22,5,116.7404
24870.93,21559.06,29,12,25564.67
25862.32,25243.55,48,13,25564.67
24600.55,21845.52,31,10,25564.67
16931.98,17409.1,54,16.651,10480.04
3413.043,13074.73,35,32,0
13558.13,11894.9,38,7.38,2803.247
11161.94,8650.839,49,0,11189.35
25862.32,25243.55,48,0,0
12594.17,11529.68,34,0,11811.47
0,134.2742,16,9,141.8618
0,0,50,0,0
8855.886,17206.79,34,21,20565.52
1379.324,0,28,23,0
9859.031,17491.45,25,18,25564.67
22596.22,25243.55,43,0,21577.76
25480.26,25243.55,39,33,22863.39
2251.198,2678.323,18,0,0
23665.98,20291.52,54,8.771,21959.02
3136.786,5077.355,55,35,7475.819
3358.183,9316.839,32,0,3947.008
6792.778,4767.629,33,25,10655.89
8136.835,10901.27,27,0,10333.74
6831.963,11894.9,51,39.5,6705.923
0,0,54,30.513,0
8848.049,9329.371,23,37.5,9088.018
1297.035,848.6129,16,26,9531.336
10597.67,8683.065,36,0,10613.03
21546.06,24715.4,48,0,25564.67
25862.32,25243.55,29,0,25564.67
8685.43,9488.71,31,35,14620.63
0,2040.968,18,45,0
16904.55,3804.435,28,1.08,21197.99
2104.253,6561.532,42,0,199.4931
8072.179,16907.81,53,42,17672.13
25862.32,25243.55,53,99.999,25564.67
25566.47,25243.55,37,26,25564.67
13156.48,13853.52,50,25,15278.22
8981.279,19792.02,30,26,21763.96
9339.825,9907.645,55,3,9090.974
14571.07,13832.03,52,1.4,15140.79
16806.59,15668.9,32,29,19305.02
1639.906,4939.5,17,0,2689.462
13031.08,5281.452,29,10.054,25564.67
16050.31,17348.23,26,0,21323.59
12623.56,11719.45,32,35,5427.69
25599.78,25243.55,29,22,25564.67
7094.505,14080.89,51,35,22675.71
2164.99,7653.629,28,0,5098.157
9788.497,4527.726,22,22.113,7898.449
0,51.91935,53,14,588.1352
20966.11,25243.55,47,18.5,25564.67
20928.89,20128.6,31,30,15148.18
13828.51,14290.35,22,40,10955.86
0,0,17,20,1956.51
15307.75,14703.92,31,20,16036.29
8526.729,8230.113,34,43,7425.576
10538.9,11456.27,36,99.999,11603.11
19030.36,17154.87,36,19,13119.26
25862.32,25243.55,42,5.094,25564.67
1681.051,0,19,35,0
1191.234,1478.806,18,10,3683.972
8017.32,12000.53,41,62,0
25862.32,25243.55,33,0,25564.67
21647.94,20191.26,33,39,20366.03
23605.25,22214.32,40,35,21147.75
12976.22,11909.23,41,0,16732.3
14008.76,15296.52,45,14,18202.64
17012.31,14270.66,33,16.536,14341.34
0,0,46,0,0
0,547.8387,35,24,616.212
973.7556,6475.597,27,59,10577.57
88.16701,657.0484,36,47,951.6559
3922.452,0,40,0,13596.56
0,2732.032,53,141.162,4498.2
4749.263,2642.516,36,76.7,4433.18
25862.32,25243.55,50,12.368,0
15217.63,0,51,20.042,0
16704.71,6883.79,41,9.94,20411.84
907.1405,304.3548,17,24,0
5819.022,0,24,63,0
0,0,50,64,0
0,0,51,10.702,0
25862.32,25243.55,54,26,0
4271.202,4948.452,40,60,4218.909
11404.89,22149.87,39,12.84,11796.69
11271.66,11159.08,24,0,7783.186
20881.87,25243.55,48,28,16757.42
25862.32,25243.55,37,52,25564.67
25862.32,25243.55,49,0,25564.67
25862.32,25243.55,53,0,25564.67
21387.36,17455.65,52,62,25564.67
25474.39,25166.56,22,28,25564.67
4179.116,7804.016,22,18,17533.23
25862.32,23739.68,44,29,25564.67
25862.32,14467.6,44,34.6,0
6843.719,25243.55,32,18,25564.67
11916.26,11918.18,31,39,1346.209
8321.006,1534.306,31,76,25564.67
0,0,18,99.999,0
25862.32,25243.55,34,62.26,25564.67
23587.61,20477.71,23,34,20346.82
25862.32,25243.55,26,0,25564.67
17721.57,18760.79,21,48,6781.287
10501.67,6903.484,35,0,15712.67
1383.242,5084.516,54,0,2036.307
25862.32,25243.55,46,12,25564.67
0,0,21,15,17941.08
3085.845,9665.952,41,46,1331.432
25862.32,25243.55,32,11,25564.67
0,0,52,0,0
21314.86,19552.11,30,0,18815.89
0,0,34,0,0
8652.122,9187.935,38,0,7431.487
10503.63,15309.05,22,28,15786.55
22623.65,22842.73,35,44,23828.34
25862.32,13507.98,25,0,25564.67
587.78,0,34,0,0
25862.32,25243.55,27,12,25564.67
0,0,30,6,0
0,2647.887,27,28,17924.82
16604.79,14012.85,33,69,17895.27
25862.32,25243.55,29,0,25564.67
20125.59,19233.44,22,17,23445.61
3887.185,0,19,0,13991.12
25862.32,25243.55,40,14,25564.67
1244.134,3446.371,18,50,7088.654
25486.14,25243.55,28,1.954,25564.67
22445.36,23258.08,51,14,23847.55
25862.32,25243.55,41,31.2,15140.79
25862.32,25243.55,52,30,25564.67
8248.513,8396.613,18,0,2059.951
0,0,35,0,13883.24
18497.44,18178.94,31,37,25564.67
21391.27,20533.21,38,99.999,9185.548
25862.32,25243.55,42,46,25564.67
25862.32,25243.55,33,39,25564.67
5583.91,5755.887,21,0,8191.038
12022.06,11472.39,26,11.171,54.67588
15811.28,3145.597,23,19,6398.556
11630.21,1450.161,30,25,9153.038
4839.389,0,27,0,7042.845
2931.063,9913.016,17,34,25564.67
11906.46,14809.55,22,42,0
0,0,55,45,0
188.0896,1165.5,19,0,7877.76
21393.23,25243.55,51,25,25564.67
7496.155,5986.839,22,2,10618.94
15928.84,15101.37,49,25,6100.055
25862.32,25243.55,36,28.87,25564.67
0,0,24,25,0
0,6588.387,39,57.244,11526.27
25862.32,25243.55,47,0,25564.67
22551.16,22982.37,28,25.885,0
22774.52,23129.18,49,0,25564.67
1148.13,2740.984,19,42,14345.77
0,0,50,51,1699.386
25778.07,25243.55,37,0,25564.67
19786.64,8094.048,41,11.8,25143.52
12488.37,20343.44,28,0,13946.78
25862.32,25243.55,37,0,25564.67
1126.578,1167.29,19,17,8566.381
25862.32,25243.55,39,0,22903.28
0,0,38,32,0
0,3607.5,44,1.12,0
17345.39,21761.37,23,30,23421.97
25862.32,25243.55,36,31.4,25564.67
25862.32,25243.55,36,10,25564.67
4510.232,5775.581,21,0,16543.15
17841.08,24640.21,35,5.1,93.09677
0,114.5806,17,23,2306.731
182.2118,7062.823,22,13,10805.14
22451.24,20871.58,30,5.239,22677.19
12602,21986.95,28,22.8,0
0,0,50,0,0
33.30754,8874.629,27,30,19859.17
3528.64,3208.258,20,11,9089.496
4978.497,5220.581,20,0.7,25564.67
17907.7,20932.45,45,0,0
9192.88,14236.65,22,0,25564.67
0,0,49,12.5,0
0,3222.581,26,3,0
16982.92,18354.39,28,49.2,25564.67
25862.32,25243.55,48,32,25564.67
474.1426,1919.226,18,20,261.5576
25862.32,25243.55,46,30,25564.67
476.1018,5736.194,19,0,25564.67
5866.045,6103.21,25,24,13804.92
0,0,25,22,0
16557.76,5424.677,46,3.12,22691.97
25862.32,25243.55,48,25,25564.67
8609.018,8224.742,23,7.2,8968.323
25862.32,25243.55,29,40,25564.67
0,5118.532,23,65,9786.983
11379.42,23028.92,28,26,10715
25862.32,25243.55,46,58,25564.67
0,0,39,90,0
25742.81,19134.97,53,41,21964.93
5078.42,9866.468,27,26,25564.67
25862.32,25243.55,25,37.335,25564.67
17584.42,17493.24,24,0,17840.59
25862.32,25243.55,29,0,25564.67
11042.43,20334.48,29,28,0
22964.57,25243.55,29,0,25564.67
25862.32,25243.55,32,0,25564.67
16577.36,25243.55,24,27.766,25564.67
0,0,47,65,0
25862.32,25243.55,25,18.8,25564.67
25862.32,25243.55,27,50,25564.67
8189.735,1353.484,29,25,2463.37
5558.44,0,28,0,20654.18
2423.613,7526.516,23,25,13680.79
8593.344,10767,41,36,16172.24
21283.52,20916.34,41,30,25564.67
19198.86,6480.968,28,63,23175.19
11882.95,9757.258,28,27,11201.17
13279.91,8441.371,39,16,25048.94
5640.729,11252.18,19,0,12899.08
23595.45,25243.55,32,34.9,24809.55
13681.56,5524.935,21,20,17879.01
14547.56,8745.726,24,21.2,22273.77
10715.23,17330.32,44,0,25564.67
25862.32,25243.55,31,0,25564.67
25862.32,25243.55,36,20,25564.67
0,4294.984,24,21.5,25564.67
3416.961,2766.048,18,17.5,15117.14
6226.55,16120.06,49,0,0
25862.32,25243.55,51,99.999,25564.67
0,0,18,13.68,4823.3
0,0,16,8.856,2676.163
1588.965,1611.29,22,0,0
18070.32,13574.23,41,0,14403.4
313.4827,0,29,34,0
17604.01,5222.371,27,0,25564.67
0,16818.29,32,40,25551.37
25862.32,25243.55,51,99.999,25564.67
0,0,46,45,0
25748.68,25243.55,38,0,25564.67
131.2709,0,38,64,25564.67
758.2363,1774.21,17,40,25564.67
10156.84,4765.839,24,10,777.2842
0,0,55,0,0
25862.32,25243.55,33,30,25564.67
12233.66,15785.27,28,32,7119.687
17218.04,723.2903,31,26,396.0307
0,0,32,54,0
15464.49,17473.55,29,99.999,20352.73
23622.88,23141.71,29,0,22502.82
5811.185,14336.9,20,0,25564.67
1058.004,11287.98,32,0,0
21990.81,22738.89,38,35,8165.917
22617.78,14284.98,30,35,14688.6
23.5112,0,38,55,0
10985.61,5460.484,27,0,21132.97
16056.19,15595.5,55,34,16235.78
0,0,20,23,5729.146
9704.248,7592.758,24,13,15006.31
25862.32,25243.55,28,23,25564.67
12319.87,17699.13,54,50,20292.14
7576.485,7426.258,40,11.5,12104.06
15129.46,15420.05,47,9,0
21326.62,22259.08,29,23,20779.79
2306.057,9572.855,28,30,24382.49
7088.627,16483.5,25,6.7,6500.519
6197.161,6047.71,26,15,0
12746.99,3743.565,24,31,0
687.7026,2875.258,19,30,799.4501
18593.44,19501.98,38,49,6713.312
25862.32,25243.55,33,0,25564.67
20519.4,13649.42,43,23.4,15548.64
21305.07,19775.9,22,0,19665.59
18076.2,13323.58,27,75,16721.95
0,0,26,65.276,0
19859.13,20268.24,27,50,15740.74
14706.26,14691.39,48,0,15220.58
670.0692,683.9032,17,0,1563.435
16783.08,17316,29,33,25564.67
2164.99,0,26,16,22650.59
25862.32,25243.55,39,0,6428.111
8473.829,0,23,16,12436.55
12100.43,10745.52,45,7,12421.77
0,0,33,0,0
3567.825,8156.71,21,42,1569.346
1943.593,4885.79,22,29,15892.95
6543.951,13230.48,18,35,25564.67
0,0,49,47,0
14334,12009.48,26,45,25564.67
16908.47,1315.887,44,99.999,24276.09
0,1079.565,17,25,7248.249
23381.89,25243.55,45,19.029,25564.67
25862.32,25243.55,48,46.765,23661.36
17651.03,20382.82,22,26.162,18715.41
6169.731,9028.597,21,40.206,25564.67
10774.01,21168.77,35,0,15624
3838.204,0,23,10,5151.355
0,0,55,20,0
21790.97,20653.16,44,32,3382.516
0,0,44,16.7,0
0,2060.661,45,0,25564.67
10033.41,9127.065,25,25,16896.33
17582.46,24996.48,54,25,25564.67
21307.03,23811.29,51,40,6221.229
1461.613,5191.935,51,50,0
23317.23,22819.45,31,40,25564.67
0,0,52,18,0
21553.89,19980,48,30,2813.591
4441.658,6566.903,46,6,7964.946
25862.32,25243.55,53,0,25564.67
4608.196,952.4516,17,30,8628.445
17.6334,0,19,0,14987.1
20458.66,12696.97,46,35,0
25862.32,25243.55,39,3,25564.67
16111.05,4731.823,50,29,0
5848.411,2896.742,20,35,16891.89
25764.36,25243.55,37,20.563,22412.68
24091.14,23562.44,32,62.5,25564.67
23426.95,17965.89,29,90,25564.67
17080.89,13842.77,23,31.042,25564.67
9202.676,2268.339,35,48,19025.73
1508.635,3229.742,17,40,8188.083
3530.599,8967.726,18,21,16268.29
15004.07,15778.11,26,3,19900.54
0,0,34,0,10658.84
16894.76,20789.23,34,31,25564.67
17090.68,18950.56,23,99.999,23420.49
14239.95,13432.79,44,8.84,5170.565
5039.234,2701.597,18,60,0
1173.601,7601.71,17,0,7115.253
8916.623,9477.968,21,0,7489.118
1632.069,15745.89,29,129.999,25564.67
25862.32,25243.55,30,62.5,25564.67
18252.53,18767.95,38,52,0
6604.688,7866.677,49,46,8666.866
14375.14,16419.05,51,17.233,0
0,2323.839,16,38,2625.92
25862.32,25243.55,39,56.152,5526.697
15301.87,14850.73,40,0,20816.73
0,0,18,29,4000.206
11551.84,12865.26,39,28,3932.23
2372.672,1566.532,28,14,0
21130.69,19935.24,28,32.8,25564.67
23332.91,20991.53,27,4,25564.67
23317.23,23399.52,37,25.5,25564.67
22907.75,25243.55,28,61,25564.67
21426.54,25243.55,43,43,25564.67
10380.2,11060.61,29,7,21078.29
48.98167,4003.161,25,49,854.126
22135.8,20005.06,26,0,25564.67
14430,16861.26,26,50,2583.066
18180.04,18426,33,0,19572.49
10740.7,10928.13,26,35,11350.42
0,2277.29,17,18,2318.553
19667.12,2225.371,35,25,2265.355
650.4766,476.2258,29,35,681.232
15750.55,14182.94,28,19,19607.95
17169.05,20751.63,23,7.05,25555.8
20705.53,9628.355,44,13,25564.67
25862.32,25243.55,31,0,25564.67
1173.601,0,42,37,0
16451.96,2023.065,26,45,1938.777
16610.66,17136.97,42,25,15734.83
15697.65,13298.52,45,20,23755.93
3391.491,19636.26,21,36,0
20527.24,20341.65,45,12,19124.74
20609.53,18793.02,38,6.9,15848.62
5630.933,7496.081,18,24.159,17958.81
2962.411,2205.677,17,30,11020.88
22055.47,22255.5,31,65,12265.13
0,0,30,65,0
18279.96,9100.21,38,85,14938.34
0,309.7258,21,109.999,10355.91
1941.633,12772.16,39,45,0
24353.69,25243.55,25,67,25564.67
8256.35,5279.661,28,37,21602.88
21532.34,20714.03,40,56.35,21752.14
11044.39,10827.87,38,33,9800.283
0,0,41,48,0
11424.48,0,27,30,10887.89
25862.32,25243.55,52,34,21987.09
25158.95,25243.55,45,21.877,0
22596.22,23356.55,50,0,14660.53
2601.906,1702.597,17,30,23874.15
0,0,17,40,2311.164
7102.342,2866.306,54,40,19859.17
1677.132,583.6452,18,30,0
14784.63,14250.97,43,17,7815.696
599.5356,694.6452,34,17,614.7343
25862.32,25243.55,28,14.5,25564.67
25862.32,25243.55,55,0,25564.67
25862.32,10081.31,25,75,19500.08
25862.32,25243.55,28,35,25564.67
23089.96,23191.84,50,55,9620
6146.22,11560.11,22,37.5,6903.939
23568.02,20157.24,35,97,14545.26
10295.95,13925.13,42,61,13240.43
25862.32,25243.55,45,7.85,23492.9
25862.32,25243.55,34,20,25564.67
22235.72,21863.42,37,0,21505.35
25862.32,25243.55,36,30,25564.67
0,0,30,39,24044.09
11959.36,7053.871,54,47.5,2682.074
487.8574,3326.419,18,55.599,4932.651
15811.28,0,37,47,0
803.2994,248.8548,17,3.5,5173.521
2911.47,1337.371,22,23.9,17023.41
352.668,6078.145,22,0,2786.992
0,0,52,34,0
22778.44,25243.55,46,50,25564.67
14776.79,14240.23,29,0,14335.43
21822.31,23023.55,29,28,25564.67
16508.78,15538.21,35,26,23668.75
4586.644,1289.032,41,40,13895.06
25862.32,20563.65,33,65,25564.67
21618.55,20998.69,45,0,16099.83
7903.682,8734.984,19,0,0
25862.32,25243.55,40,45,25564.67
7866.456,9848.565,50,28.08,0
25862.32,25071.68,37,22.267,25564.67
12319.87,11320.21,27,0,11471.59
17098.52,19654.16,40,33,17615.98
16918.27,17538,36,0,21353.15
20830.92,16811.13,38,31,0
15444.9,13266.29,34,25,25564.67
25862.32,25243.55,28,0,25564.67
0,1682.903,41,45,0
22629.53,17917.55,41,0,22211.71
22137.76,20458.02,30,13,25564.67
7511.829,11153.71,26,22.025,13668.97
12907.65,2207.468,47,30.8,0
14093.01,12670.11,34,22,14880.71
25862.32,25243.55,26,25,25564.67
25862.32,19444.69,46,32.658,25564.67
16822.26,18207.58,34,13.96,22864.86
6489.092,8632.935,18,47,12672.98
4625.829,11026.6,18,36,14956.07
12029.9,10917.39,34,42,6170.986
18785.45,4244.855,34,55,25564.67
0,0,16,18,8666.866
11700.74,11860.89,26,18,15427.47
4992.212,0,43,0,0
252.7454,497.7097,17,36,16.25499
10121.57,16496.03,29,40,7388.633
8034.953,6762.048,18,26,16865.29
22807.82,23818.45,49,0,25564.67
10534.98,6946.452,20,51.848,5760.178
25862.32,25243.55,49,34,25564.67
4249.65,6264.339,25,21,0
942.4073,6430.839,28,24,3623.386
25862.32,19528.84,28,31,25434.63
389.8941,23854.26,30,22,19390.73
1906.367,0,27,30,23622.94
19273.31,20909.18,29,0,24397.27
4496.517,0,29,20,14202.43
16144.36,17672.27,41,42,22248.65
20039.38,20653.16,35,10.5,5912.384
19208.65,19414.26,51,0,22492.48
24396.79,20391.77,53,37,25564.67
18542.5,18497.61,34,24,23272.72
22559,25094.95,45,33.4,17460.82
23906.97,22375.45,51,0,24183
4874.656,4613.661,19,48.5,3809.579
25862.32,25243.55,30,58,25564.67
5325.287,3211.839,34,0,2102.805
5407.576,119.9516,21,21,0
8983.238,7537.258,32,50,6915.76
4353.491,21827.61,26,13,25564.67
0,5088.097,19,99.999,17171.18
23836.44,25243.55,33,60,21087.16
0,0,29,60,0
6763.389,6563.323,24,90,4122.857
3816.652,7827.29,44,54,12440.98
0,0,54,0,0
9404.481,2327.419,42,0,4433.18
766.0733,614.0806,17,14,694.5315
12221.91,13384.45,26,50,19944.88
25139.35,22606.4,39,53,23318.53
21634.22,18610.4,28,61,21653.13
16344.2,10049.08,44,0,15553.07
1079.556,2873.468,19,0,14344.29
25862.32,25243.55,40,50,25564.67
3550.191,3251.226,34,40,7166.974
1471.409,9379.5,20,0,6339.447
2603.866,0,22,33,675.321
0,0,50,12,0
15752.51,14752.26,27,9,25564.67
15817.16,15527.47,29,25,20302.49
0,0,37,45,0
19161.63,20157.24,25,40,11644.49
11118.84,13529.47,25,26,14177.31
6349.984,3972.726,23,51,2388.006
23924.61,24495.19,40,7.5,22755.51
25441.08,25243.55,31,30,25564.67
11736.01,14186.52,22,51.68,17644.06
13166.27,13928.71,53,48,14387.15
21777.25,21138.34,36,49,23881.54
25542.96,25243.55,32,38,25564.67
16614.58,15181.94,54,70,12547.38
25862.32,25243.55,32,30,25564.67
12643.15,13386.24,38,0,21778.73
0,3330,47,3,24119.45
15090.27,13926.92,29,0,6283.293
17372.82,20146.5,23,0,16528.37
13720.75,5005.742,28,61,558.5806
4986.334,9358.016,21,78,8205.816
862.0774,605.129,17,99.999,6469.487
0,1632.774,21,30,103.4409
17127.91,15670.69,28,55,20968.94
0,320.4677,49,33.8,5192.731
25862.32,25086,38,14.56,25564.67
0,601.5484,17,0,701.9201
21534.3,25243.55,47,17.3,24740.1
16285.43,21542.95,24,20,17559.82
16998.6,16897.06,28,48.5,16262.38
18076.2,21847.31,40,0,21713.71
17547.19,11758.84,38,27,6299.548
12304.2,11814.34,48,38,15375.75
13873.57,14947.4,28,40,18292.78
0,25243.55,50,0,0
19714.14,16137.97,32,55,25564.67
133.2301,205.8871,16,0,6145.865
13518.94,6702.968,32,0,0
14100.84,7478.177,28,33,14367.94
14872.79,15976.84,27,15,14951.64
2713.585,3238.694,21,16.8,5670.037
17643.2,18053.61,35,0,22294.46
19308.57,20223.48,26,14.56,25564.67
11361.79,445.7903,26,31,9328.888
15309.71,13119.48,20,0,20182.79
0,13980.63,27,8,4408.058
20537.03,25243.55,48,15,25564.67
14308.53,20576.18,20,27.664,24511.05
22694.19,13953.77,42,12,25010.52
17182.77,22568.81,43,7,19968.52
1941.633,4225.161,18,22,10141.64
17388.49,16266.87,28,25,25564.67
21385.4,23129.18,49,11,14669.39
0,0,41,11,0
0,1618.452,17,2.214,13565.53
25862.32,25243.55,43,12,13119.26
0,10589.76,18,10,0
4324.102,6633.145,28,5.644,5999.57
6763.389,239.9032,23,0,0
12100.43,11626.35,53,99.999,14772.83
250.7862,1099.258,17,35,0
7012.216,1389.29,21,77.4,3047.072
0,0,22,50,0
12057.33,12081.1,35,4,25505.56
12304.2,12278.03,47,30,16120.52
14451.55,14915.18,54,40,16450.05
3944.004,7784.323,18,40,10649.98
25862.32,20372.08,35,35,9788.461
25862.32,24923.08,30,51,25564.67
1318.587,2003.371,16,40,12893.16
23089.96,21548.32,43,18,20738.41
22414.01,21689.76,44,15,25564.67
1316.627,1750.935,21,40,2238.756
25862.32,25243.55,33,47,24766.7
25862.32,25243.55,28,28,25564.67
23234.95,23075.47,49,42,25564.67
16034.64,16175.56,31,16.4,19112.92
25862.32,25241.76,30,0,25564.67
10903.32,9365.177,41,35,3392.86
21389.32,18300.68,52,36.1,15736.31
0,0,17,46,2430.86
17929.25,3985.258,28,65,25564.67
22680.47,17079.68,37,60,3200.756
0,0,27,16,15183.64
0,0,37,21.65,0
19179.26,20014.02,32,34,19683.32
25862.32,23506.94,36,30,25564.67
25862.32,25243.55,40,36.4,25564.67
8695.226,15778.11,20,0,22551.59
12084.76,1690.065,44,55,919.1459
0,0,43,40,0
20952.4,24547.11,29,0,0
13605.15,13937.66,34,47,22360.96
3064.293,8461.065,27,50,11149.45
24118.57,22207.16,35,62,25564.67
0,0,35,32,0
25862.32,25243.55,52,35,25564.67
4100.745,8239.065,53,40,15594.45
25862.32,23521.26,37,80,25499.65
16571.48,15522.1,43,0,21469.89
8297.495,8835.242,23,0,25564.67
0,8656.21,46,25,0
19330.13,24932.03,52,76.126,25467.14
0,13259.13,25,0,18309.03
3728.485,0,20,16,0
21855.62,21260.08,34,0,22693.45
23152.66,19068.73,39,50,20212.34
1056.045,205.8871,19,50,0
0,94.8871,24,0,0
25862.32,25243.55,55,49.869,25564.67
8908.786,3893.952,26,59,19535.55
0,1419.726,18,45,20841.86
21685.16,22549.11,40,28,21138.88
25862.32,25243.55,52,135.999,0
15564.42,14657.37,53,1.75,4112.513
23466.14,18531.63,35,5.12,24790.34
16771.32,19167.19,32,49.854,17946.99
2172.827,7574.855,25,0,14979.71
2366.794,5528.516,21,65,11116.94
25862.32,25243.55,30,0,22516.12
474.1426,2379.339,18,45,0
25862.32,25243.55,30,57.662,14446.25
21363.85,21113.27,31,15,23671.7
0,0,26,33.203,0
16977.05,11789.27,35,33.5,19641.94
18820.72,3926.177,35,38,16281.59
7882.13,7838.032,44,60,10615.99
22847.01,19638.05,28,30,25564.67
15823.04,15081.68,30,0,13968.95
0,778.7903,16,41,5186.82
24181.27,24165.77,55,35,25564.67
25862.32,8013.484,29,48,25564.67
15168.64,17224.69,26,20,21172.87
22549.2,21158.03,46,70,21638.35
25640.92,22148.08,28,99.999,25564.67
12165.09,4103.419,31,66.5,22773.24
14812.06,17670.48,27,40,25564.67
19386.95,22312.79,21,40,20465.04
7952.664,6994.79,22,0,13841.86
25862.32,25243.55,28,0,25564.67
25862.32,25243.55,35,7.8,25564.67
21843.87,8285.613,22,10,25564.67
246.8676,0,21,42,6708.879
9672.9,15504.19,23,35,20849.24
0,0,17,0,15124.53
25862.32,24121.02,34,0,25564.67
7155.242,11259.34,21,12,23868.24
